ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-781252,MapQuest,201,2,2020-05-21T19:24:55Z,2020-05-21T19:54:40Z,32.999741,-79.848289,NA,NA,0,Accident on Hagan Ave at Cainhoy Rd.,2109,Cainhoy Rd,R,Huger,Berkeley,SC,29450-9587,US,US/Eastern,KLRO,2020-05-21T19:15:00Z,77,77,83,30.01,9,VAR,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2998678,Bing,NA,2,2020-10-25T18:57:00Z,2020-10-25T21:17:30Z,45.144291,-93.18402,NA,NA,1.441,Queuing traffic on I-35W from CR-17/Lexington Ave/Exit 33 (I-35W) to US-10/Exit 30 (I-35W) due to accident.,NA,I-35W S,R,Minneapolis,Anoka,MN,55449,US,US/Central,KANE,2020-10-25T18:50:00Z,28,28,86,29.33,10,NNW,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-1783913,MapQuest-Bing,201,2,2018-11-26T07:33:48Z,2018-11-26T08:03:27Z,41.73698,-87.973381,NA,NA,0,Accident on Cass Ave at Hinswood Dr.,8400,S Cass Ave,R,Darien,DuPage,IL,60561,US,US/Central,KLOT,2018-11-26T07:35:00Z,26.4,14,94,29.79,0.5,NNW,16.1,NA,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-101956,MapQuest,201,3,2016-04-13T14:36:54Z,2016-04-13T15:36:54Z,33.82967,-117.928947,NA,NA,0.01,Slow lane blocked due to accident on I-5 Northbound near Exit 111 Wilshire Ave.,NA,W Broadway,R,Anaheim,Orange,CA,92802,US,US/Pacific,KFUL,2016-04-13T14:53:00Z,73,NA,48,30.04,10,SSW,8.1,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2269082,MapQuest,201,3,2018-03-23T15:32:31Z,2018-03-23T16:35:47Z,28.832712,-81.321655,NA,NA,0,Left lane blocked due to accident on I-4 Westbound at Exit 104 US-17. Police in attendance.,NA,I-4 E,R,Sanford,Seminole,FL,32771,US,US/Eastern,KSFB,2018-03-23T15:53:00Z,71.1,NA,20,30.22,10,North,8.1,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-746420,MapQuest,201,3,2020-08-29T18:17:27Z,2020-08-29T19:17:38Z,29.737747,-95.459137,NA,NA,0,Right lane blocked and right hand shoulder blocked due to accident on I-610 Southbound at Exit 8B Hidalgo St.,3026,West Loop S,R,Houston,Harris,TX,77027-6105,US,US/Central,KMCJ,2020-08-29T17:53:00Z,93,93,56,29.77,10,SE,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2032138,MapQuest,201,2,2018-07-27T12:06:42Z,2018-07-27T12:51:22Z,33.510555,-82.038727,NA,NA,0,Accident on Boy Scout Rd at Lafayette Dr.,201,Lafayette Dr,R,Augusta,Richmond,GA,30909-2103,US,US/Eastern,KDNL,2018-07-27T11:53:00Z,90,NA,52,30.02,10,Calm,NA,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3689059,Bing,NA,2,2020-01-16T12:14:00Z,2020-01-16T12:45:24Z,40.734457,-122.317924,NA,NA,0,At Fawndale Rd/Wonderland BD/Exit 689 - Accident.,NA,I-5 S,R,Redding,Shasta,CA,96003,US,US/Pacific,KRDD,2020-01-16T12:17:00Z,41,41,93,29.17,2,NNW,3,0.02,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1112332,MapQuest,201,3,2019-11-08T01:56:35Z,2019-11-08T02:28:00Z,39.68222,-104.938042,NA,NA,0,Right lane blocked due to accident on I-25 Northbound at CO-2 Colorado Blvd.,NA,I-25 N,R,Denver,Denver,CO,80222,US,US/Mountain,KAPA,2019-11-08T01:53:00Z,29,24,82,24.35,10,S,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-34771,MapQuest,201,3,2016-04-14T22:29:27Z,2016-04-14T23:29:27Z,38.664406,-121.356705,NA,NA,0.01,Accident on I-80 Westbound before Exit 96 Madison Ave.,NA,I-80 W,R,Sacramento,Sacramento,CA,95841,US,US/Pacific,KMCC,2016-04-14T22:30:00Z,51.8,NA,58,30.11,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3129916,Bing,NA,2,2020-11-28T13:01:00Z,2020-11-28T15:24:28Z,38.629884,-121.22174,NA,NA,0.019,RP UNSURE WHO VICTIM IS - VEH WAS PARKED,12153,Tributary Point Dr,R,Rancho Cordova,Sacramento,CA,95670-4509,US,US/Pacific,KMHR,2020-11-28T12:45:00Z,59,59,39,30.11,10,NW,7,NA,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1144482,MapQuest,246,3,2019-11-23T12:56:38Z,2019-11-23T13:56:55Z,26.88273,-80.128021,NA,NA,0,Three lanes blocked due to accident on I-95 Northbound before Exit 83 Donald Ross Rd.,NA,I-95 N,R,Palm Beach Gardens,Palm Beach,FL,33418,US,US/Eastern,KPBI,2019-11-23T12:53:00Z,81,81,50,29.98,10,SSE,10,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2201464,MapQuest,201,2,2018-04-20T11:31:42Z,2018-04-20T12:16:15Z,42.927814,-85.681854,NA,NA,0,Accident on US-131 Southbound at Exits 82A 82B Burton St.,NA,Burton St SW,R,Grand Rapids,Kent,MI,49503,US,US/Eastern,KGRR,2018-04-20T11:53:00Z,52,NA,30,30.51,10,Variable,3.5,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-260141,MapQuest,201,2,2016-07-26T05:57:04Z,2016-07-26T06:27:04Z,40.863407,-79.964417,NA,NA,0,Accident on PA-68 Evans City Rd at Oakdale Rd.,470,Evans City Rd,L,Butler,Butler,PA,16001-8637,US,US/Eastern,KBTP,2016-07-26T05:55:00Z,66.2,NA,94,30.03,5,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-3402961,Bing,NA,2,2020-12-25T03:23:00Z,2020-12-25T04:38:39Z,29.183211,-81.890528,NA,NA,0.061,Incident on CR-314A near FL-40 Drive with caution.,15855,E Highway 40,R,Silver Springs,Marion,FL,34488-4149,US,US/Eastern,KVVG,2020-12-25T02:53:00Z,42,35,67,30.01,10,WNW,13,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-3571915,Bing,NA,3,2020-03-09T15:47:13Z,2020-03-09T16:16:57Z,37.09172,-104.51987,NA,NA,0,At US-85/Exit 8 - Accident.,NA,I-25 S,R,Trinidad,Las Animas,CO,81082,US,US/Mountain,KTAD,2020-03-09T15:54:00Z,64,64,21,24.3,10,N,3,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-326472,MapQuest,201,3,2017-01-31T07:38:48Z,2017-01-31T08:08:37Z,42.367451,-71.06163,NA,NA,0.01,Accident on 93 Southbound before MA-28 Storrow Dr.,NA,I-93 N,R,Boston,Suffolk,MA,02114,US,US/Eastern,KBOS,2017-01-31T07:54:00Z,21.9,12.5,55,30,10,West,8.1,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1594581,MapQuest,201,2,2019-02-17T06:58:17Z,2019-02-17T07:27:23Z,32.765427,-96.912888,NA,NA,0,Right lane blocked due to accident on TX-12-LOOP Southbound at I-30 Exit 38.,NA,Tom Landry Fwy,R,Dallas,Dallas,TX,75212,US,US/Central,KDAL,2019-02-17T06:53:00Z,43,36,86,29.88,10,NNW,13.8,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-2179428,MapQuest,201,2,2018-04-10T07:32:01Z,2018-04-10T08:01:35Z,35.865593,-78.848335,NA,NA,0,Accident on Shiloh Glenn Dr at NC-54 Chapel Hill Rd.,11157,Chapel Hill Rd,R,Morrisville,Wake,NC,27560-8857,US,US/Eastern,KRDU,2018-04-10T07:51:00Z,43,41.3,86,30.21,10,NNE,3.5,NA,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1691532,MapQuest,201,2,2018-12-10T13:16:25Z,2018-12-10T14:15:50Z,35.657841,-78.848526,NA,NA,0,Accident on NC-55-BYP Gb Alford Hwy at Holly Springs Rd.,NA,GB Alford Hwy,R,Holly Springs,Wake,NC,27540,US,US/Eastern,KTTA,2018-12-10T13:20:00Z,34.5,28.6,91,30.08,10,NE,6.9,NA,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-853042,MapQuest,201,2,2020-04-08T18:17:57Z,2020-04-08T19:17:32Z,39.625401,-84.292686,NA,NA,0,Accident on Dayton Cincinnati Pike near South Dr.,1,South Dr,R,Miamisburg,Montgomery,OH,45342-3178,US,US/Eastern,KMGY,2020-04-08T17:53:00Z,75,75,38,28.64,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2450295,MapQuest,201,3,2017-12-22T15:56:00Z,2017-12-22T16:25:33Z,40.082397,-82.906921,NA,NA,0,Accident on I-270 Outerbelt Northbound at Exit 30 OH-161 New Albany Expy.,NA,New Albany Expy W,R,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2017-12-22T15:51:00Z,55,NA,93,29.97,6,SW,6.9,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1872989,MapQuest,201,3,2018-09-07T07:18:30Z,2018-09-07T07:47:39Z,40.132847,-75.19339,NA,NA,0,Right hand shoulder blocked due to accident on I-276 PA Tpke Westbound at Exit 339.,NA,I-276 W,R,Fort Washington,Montgomery,PA,19034,US,US/Eastern,KLOM,2018-09-07T07:15:00Z,69.8,NA,100,30.17,10,Calm,NA,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3468290,Bing,NA,3,2020-04-30T17:33:39Z,2020-04-30T18:23:37Z,30.72703,-88.17022,NA,NA,0,At CR-31/Schillinger Rd N - Accident.,NA,Moffett Rd,R,Mobile,Mobile,AL,36618,US,US/Central,KMOB,2020-04-30T17:56:00Z,74,74,34,29.71,10,NW,12,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2565944,MapQuest,201,2,2017-10-23T15:55:59Z,2017-10-23T16:40:48Z,34.801727,-82.427902,NA,NA,0,Accident on US-25 White Horse Rd at I-185.,2600,White Horse Rd,R,Greenville,Greenville,SC,29611-6142,US,US/Eastern,KGMU,2017-10-23T15:53:00Z,69.1,NA,87,29.75,10,WSW,15,0.27,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2048844,MapQuest,201,2,2018-06-06T16:56:19Z,2018-06-06T17:26:14Z,35.346401,-80.759651,NA,NA,0,Accident on Mallard Creek Rd at Lexington Approach Dr.,11100,Mallard Creek Rd,R,Charlotte,Mecklenburg,NC,28262-4414,US,US/Eastern,KJQF,2018-06-06T16:52:00Z,87.8,NA,35,29.85,10,WNW,6.9,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1017289,MapQuest-Bing,201,2,2019-12-12T19:23:25Z,2019-12-12T19:53:10Z,33.872532,-118.202324,NA,NA,0,HOV lane blocked due to accident on CA-91 Eastbound before Exit 11 Long Beach Blvd.,NA,Long Beach Blvd,R,Long Beach,Los Angeles,CA,90805,US,US/Pacific,KLGB,2019-12-12T19:53:00Z,58,58,93,30.09,8,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3545608,Bing,NA,2,2020-06-10T23:30:10Z,2020-06-10T23:45:10Z,34.06914,-117.79786,NA,NA,0,At Fairplex Dr/Exit 43 - Accident. Left lane blocked.,NA,I-10 E,R,Pomona,Los Angeles,CA,91768,US,US/Pacific,KPOC,2020-06-10T16:47:00Z,95,95,10,28.85,10,W,14,NA,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1529487,MapQuest,201,2,2019-03-18T15:05:41Z,2019-03-18T16:20:29Z,33.8787,-118.339577,NA,NA,0,Accident on Redondo Beach Blvd at Ainsworth Ave.,3799,Redondo Beach Blvd,R,Torrance,Los Angeles,CA,90504-1223,US,US/Pacific,KHHR,2019-03-18T14:53:00Z,72,NA,44,29.95,10,West,10.4,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1616061,MapQuest,201,2,2018-12-31T23:03:09Z,2018-12-31T23:33:00Z,45.479259,-122.568611,NA,NA,0,Accident on 92nd Ave at Woodstock Blvd.,6001,SE 92nd Ave,R,Portland,Multnomah,OR,97266-5226,US,US/Pacific,KPDX,2018-12-31T22:53:00Z,32,NA,88,30.44,7,Calm,NA,NA,Partly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-880380,MapQuest,201,2,2020-01-06T08:21:15Z,2020-01-06T09:52:59Z,39.127628,-84.573883,NA,NA,0,Accident on Wyoming Ave at Queen City Ave.,2192,Queen City Ave,R,Cincinnati,Hamilton,OH,45214-1028,US,US/Eastern,KLUK,2020-01-06T07:53:00Z,29,29,92,29.69,10,CALM,0,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-173731,MapQuest,201,2,2016-09-30T10:54:08Z,2016-09-30T11:23:47Z,42.00539,-88.14473,NA,NA,0,Accident on Barrington Rd at IL-19 Irving Park Rd.,NA,E Irving Park Rd,R,Hanover Park,Cook,IL,60133,US,US/Central,KDPA,2016-09-30T10:52:00Z,63,NA,90,30.14,5,NE,13.8,0,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-1133043,MapQuest,201,2,2019-11-19T10:03:57Z,2019-11-19T10:49:31Z,41.818333,-71.382172,NA,NA,0,Right hand shoulder blocked due to accident on I-195 Eastbound at Exit 4 US-44 Taunton Ave.,NA,US-44 E,R,East Providence,Providence,RI,02914,US,US/Eastern,KPVD,2019-11-19T10:04:00Z,42,42,96,29.7,3,S,3,0,Light Drizzle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2392186,MapQuest,201,2,2018-01-26T08:06:17Z,2018-01-26T08:35:58Z,40.431034,-80.001656,NA,NA,0,Restrictions due to accident on PA-837 Carson St at Station Square Dr.,64,E Carson St,R,Pittsburgh,Allegheny,PA,15219-1102,US,US/Eastern,KAGC,2018-01-26T07:53:00Z,27,16.1,66,30.53,10,South,12.7,NA,Clear,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2864936,Bing,NA,3,2017-02-07T11:30:43Z,2017-02-07T17:30:43Z,27.95849,-82.70889,NA,NA,2.512,Between SR-60/Gulf To Bay Blvd and Bayside Brg (South) - Accident.,NA,S McMullen Booth Rd,R,Clearwater,Pinellas,FL,33759,US,US/Eastern,KPIE,2017-02-07T11:53:00Z,80.1,NA,60,30.06,10,South,16.1,NA,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3755897,Bing,NA,2,2019-12-28T21:27:00Z,2019-12-29T00:20:12Z,45.01368,-93.0896,NA,NA,0,Ramp to I-35E Northbound - Vehicle spun around.,NA,I-35E N,R,Saint Paul,Ramsey,MN,55117,US,US/Central,KSTP,2019-12-28T21:53:00Z,35,29,89,28.98,5,E,7,0.05,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-1619595,MapQuest,201,2,2019-01-03T12:01:00Z,2019-01-03T12:45:47Z,30.158131,-92.046753,NA,NA,0,Accident on LA-3095 Kaliste Saloom Rd at Meadow Farm Rd.,2439,Kaliste Saloom Rd,R,Lafayette,Lafayette,LA,70508-6809,US,US/Central,KLFT,2019-01-03T11:53:00Z,57.9,NA,100,29.89,3,ESE,9.2,0.19,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3982159,Bing,NA,4,2018-10-15T14:22:00Z,2018-10-15T21:00:00Z,40.506273,-83.176048,NA,NA,0.778,Closed at Newmans-Cardington - Road closed due to accident.,4135,Marion Marysville Rd,L,Prospect,Marion,OH,43342-9788,US,US/Eastern,KDLZ,2018-10-15T14:15:00Z,51.8,NA,82,30.07,10,WNW,16.1,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-931875,MapQuest,241,2,2020-02-04T12:44:37Z,2020-02-04T13:44:23Z,30.533215,-87.273766,NA,NA,0,Lane blocked due to accident on US-90-ALT Nine Mile Rd at CR-95A Old Palafox Hwy.,NA,N Palafox St,R,Pensacola,Escambia,FL,32534,US,US/Central,KPNS,2020-02-04T12:53:00Z,72,72,71,29.86,10,SSE,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-4146870,Bing,NA,2,2017-09-20T14:46:42Z,2017-09-20T20:46:42Z,41.84307,-87.990710000000007,NA,NA,0,At CR-25 - Accident.,NA,Meyers Rd,R,Oak Brook,DuPage,IL,60523,US,US/Central,KMDW,2017-09-20T14:53:00Z,91.9,NA,45,29.84,10,SSW,16.1,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-2678901,MapQuest,201,2,2017-08-14T15:10:38Z,2017-08-14T15:40:17Z,28.858355,-81.652962,NA,NA,0,Lane blocked due to accident on Bates Ave at County Road 44 . Emergency vehicles.,3300,E County Road 44,L,Eustis,Lake,FL,32736-2208,US,US/Eastern,KLEE,2017-08-14T14:53:00Z,95,NA,50,29.96,10,SW,9.2,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-693399,MapQuest,245,3,2020-07-17T11:02:16Z,2020-07-17T14:05:36Z,43.142597,-77.597176,NA,NA,0,Two lanes blocked due to accident on I-490 Westbound at Meigs St.,NA,I-490 W,R,Rochester,Monroe,NY,14620,US,US/Eastern,KROC,2020-07-17T10:54:00Z,77,77,62,29.5,10,WNW,16,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3356250,Bing,NA,2,2020-12-26T14:06:01Z,2020-12-26T15:51:01Z,42.34398,-123.567277,NA,NA,1.305,A crash has occurred causing no to minimum delays. Use caution.,13762,Redwood Hwy,L,Wilderville,Josephine,OR,97543-9105,US,US/Pacific,KSXT,2020-12-26T13:56:00Z,35,29,96,26.16,0,S,8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-1281278,MapQuest,201,2,2019-07-19T16:19:04Z,2019-07-19T18:02:38Z,30.219360000000002,-97.688087,NA,NA,0,Accident on Ben White Blvd Svc Rd Eastbound at Palma Verde Dr.,7901,E Ben White Blvd,R,Austin,Travis,TX,78744-1719,US,US/Central,KAUS,2019-07-19T15:53:00Z,98,98,40,29.36,10,S,14,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-332791,MapQuest,201,2,2017-01-31T18:22:54Z,2017-01-31T18:52:22Z,29.569487,-98.38343,NA,NA,0.01,Accident on FM-2252 Nacogdoches Rd at Cattleman St.,14058,Nacogdoches Rd,R,San Antonio,Bexar,TX,78247-1953,US,US/Central,KSAT,2017-01-31T18:51:00Z,70,NA,29,29.94,10,SSE,5.8,NA,Partly Cloudy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-924303,MapQuest,201,2,2020-01-30T07:57:18Z,2020-01-30T08:41:59Z,41.328049,-96.081787,NA,NA,0,Accident on 108th St at Potter St.,10799,Potter St,L,Omaha,Douglas,NE,68122,US,US/Central,KBTA,2020-01-30T07:55:00Z,31,23,94,28.65,3,SSE,9,0,Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3940757,Bing,NA,2,2018-12-06T18:27:16Z,2018-12-06T18:57:00Z,38.64144,-121.46193,NA,NA,0.499,At Norwood Ave - Accident. Lane blocked.,NA,I-80 E,R,Sacramento,Sacramento,CA,95838,US,US/Pacific,KMCC,2018-12-06T18:35:00Z,50,NA,76,29.97,10,WNW,3.5,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2434389,MapQuest,201,3,2017-12-14T08:28:48Z,2017-12-14T09:13:28Z,33.705994,-117.779106,NA,NA,0,Accident and abandoned vehicle on I-5 Southbound at Culver Dr. On the median.,NA,Santa Ana Fwy S,R,Irvine,Orange,CA,92620,US,US/Pacific,KSNA,2017-12-14T08:53:00Z,59,NA,36,30.02,10,Variable,3.5,NA,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2886945,Bing,NA,2,2017-03-24T13:48:01Z,2017-03-24T19:48:01Z,35.27148,-80.83705,NA,NA,0.091,At I-85/I-77/US-21 - Accident.,3928,Statesville Ave,R,Charlotte,Mecklenburg,NC,28206-1015,US,US/Eastern,KCLT,2017-03-24T13:49:00Z,68,NA,43,30.44,10,South,18.4,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2274772,MapQuest,201,2,2018-03-26T19:09:29Z,2018-03-26T19:39:20Z,36.203007,-119.466339,NA,NA,0,Accident on Road 48 at CA-137 Avenue 228.,4786,Avenue 228,L,Tulare,Tulare,CA,93274-9704,US,US/Pacific,KVIS,2018-03-26T18:56:00Z,57.9,NA,49,30.18,10,North,5.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3812153,Bing,NA,2,2019-10-21T06:54:45Z,2019-10-21T07:24:26Z,41.67184,-72.84406,NA,NA,0.391,Between I-84/Woodford Ave and End of Freeway - Accident. Left lane blocked.,NA,CT-72 W,R,Plainville,Hartford,CT,06062,US,US/Eastern,KMMK,2019-10-21T06:53:00Z,48,45,89,29.95,10,N,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-31939,MapQuest,201,3,2016-03-29T07:18:32Z,2016-03-29T08:18:32Z,38.643002,-121.526352,NA,NA,0,Accident on I-5 Southbound at Exit 524 Arena Blvd.,NA,Arena Blvd,R,Sacramento,Sacramento,CA,95834,US,US/Pacific,KMCC,2016-03-29T07:10:00Z,39.2,34.2,81,29.87,10,WNW,6.9,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
